,LTV,,,,,,,,
Loan Level Add-ons,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,80.01-85,85.01-90
Interest Only,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,NA
DTI > 43%,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.375,0.5
ajor Credit Event within past 4 year,0.25,0.25,0.25,0.375,0.375,0.5,NA,NA,NA
Condotel,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA
Cashout Refinance,0.225,0.225,0.225,0.35,0.35,0.35,0.35,0.45,NA
2nd Home,0.125,0.125,0.125,0.125,0.25,0.25,0.25,NA,NA
Investor Occupancy,0.375,0.375,0.375,0.375,0.375,0.375,NA,NA,NA
2-4 Units,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.375,NA
Non-Warrantable Condo2,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.25,NA
